Model,Launch,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,TDP (Watts)
GeForce 8300 GS,7/1/07,1.8,3.6,14.4,40
GeForce 8400 GS,6/15/07,1.8,3.6,28.8,40
GeForce 8400 GS rev.2,12/10/07,2.268,4.536,22.4,25
GeForce 8400 GS rev.3,7/12/10,2.08,2.08,19.7,25
GeForce 8400 GS rev.3,7/12/10,2.356,2.356,19.7,25
GeForce 8500 GT,4/17/07,1.8,3.6,28.8,45
GeForce 8600 GS,4/1/07,4.32,4.32,75.5,47
GeForce 8600 GT,4/17/07,4.32,8.64,76,47
GeForce 8600 GTS,4/17/07,5.4,10.8,92.8,71
GeForce 8800 GS,1/1/08,6.6,26.4,264,105
GeForce 8800 GTS (G80),2/12/07,10.3,12.3,228,146
GeForce 8800 GTS 112 (G80),11/19/07,10,14,268.8,150
GeForce 8800 GT,10/29/07,9.6,33.6,336,125
GeForce 8800 GTS (G92),12/11/07,10.4,41.6,416,135
GeForce 8800 GTX,11/8/06,13.8,18.4,345.6,145
GeForce 8800 Ultra,5/2/07,14.7,19.6,384,175
GeForce 9400 mGPU,10/1/08,2.32,4.64,67.2,12
GeForce 9300 GE,6/1/08,2.16,4.32,20.8,25
GeForce 9300 GS,6/1/08,2.268,4.536,22.4,25
GeForce 9400 GT,8/27/08,2.2,4.4,44.8,50
GeForce 9500 GT,7/29/08,4.4,8.8,89.6,50
GeForce 9600 GSO,5/1/08,6.6,26.4,264,84
GeForce 9600 GSO 512,10/1/08,10.4,15.6,156,90
GeForce 9600 GT Green Edition,1/1/09,9.6,19.2,192,59
GeForce 9600 GT Green Edition,1/1/09,10,20,208,59
GeForce 9600 GT,2/21/08,10.4,20.8,208,95
GeForce 9800 GT Green Edition,1/1/09,8.8,30.8,308,75
GeForce 9800 GT,7/1/08,9.6,33.6,336,125
GeForce 9800 GTX,4/1/08,10.8,43.2,432,140
GeForce 9800 GTX+,7/16/08,11.808,47.232,470,141
GeForce 9800 GX2,3/18/08,19.2,76.8,768,197
GeForce G 100,3/10/09,2.15,4.3,22.4,35
GeForce GT 120,3/10/09,4.4,8.8,89.6,50
GeForce GT 130,3/10/09,6,12,120,75
GeForce GT 140,3/10/09,10.4,20.8,208,105
GeForce GTS 150,3/10/09,11.808,47.232,470,141
GeForce 205,11/26/09,2.356,2.356,22.4,30.5
GeForce 210,10/12/09,2.356,4.712,36.4,30.5
GeForce 210,10/12/09,2.356,4.712,44.9,30.5
GeForce GT 220,10/12/09,5,10,128.2,58
GeForce GT 220,10/12/09,5,10,130.6,58
GeForce GT 230,10/12/09,10.4,15.6,156,75
GeForce GT 230,4/27/09,6,24,238.5,75
GeForce GT 240,11/17/09,4.4,17.6,257.3,69
GeForce GTS 240,7/1/09,10.8,37.8,362.9,120
GeForce GTS 250,1/1/09,11.2,44.9,387,130
GeForce GTS 250,3/3/09,11.808,47.232,470,150
GeForce GTX 260,6/16/08,16.128,36.864,477,182
GeForce GTX 275,4/9/09,17.724,50.6,674,219
GeForce GTX 280,6/17/08,19.264,48.16,622,236
GeForce GTX 285,1/15/09,20.736,51.84,708.48,204
GeForce GTX 295,1/8/09,32.256,92.16,1192.3,289
GeForce 310,11/27/09,2.356,4.712,44.8,30.5
GeForce 315,2/1/10,3.8,7.6,105.6,33
GeForce GT 320,2/1/10,4.32,12.96,187.5,43
GeForce GT 330,2/1/10,4.4,17.6,257.3,75
GeForce GT 330,2/1/10,4,24,240,75
GeForce GT 330,2/1/10,8,24,240,75
GeForce 405,9/16/11,3.8,7.6,105.6,30.5
GeForce 405,9/16/11,2.36,4.71,44.86,30.5
GeForce GT 420,9/3/10,2.8,2.8,134.4,50
GeForce GT 430,10/11/10,2.8,11.2,268.8,60
GeForce GT 430,10/11/10,2.8,11.2,268.8,49
GeForce GT 430,10/11/10,2.8,11.2,268.8,49
GeForce GT 440,2/1/11,3.2,12.9,311.04,65
GeForce GT 440,10/11/10,4.8,19.4,342.43,56
GeForce GTS 450,10/11/10,4.7,18.9,455.04,106
GeForce GTS 450,9/13/10,6.2,25,601.34,106
GeForce GTX 460 SE,11/15/10,7.8,31.2,748.8,150
GeForce GTX 460,10/11/10,9.1,36.4,873.6,150
GeForce GTX 460,7/12/10,9.4,37.8,907.2,150
GeForce GTX 460,7/12/10,9.4,37.8,907.2,160
GeForce GTX 460,9/24/11,10.9,43.6,1045.6,160
GeForce GTX 465,5/31/10,13.3,26.7,855.36,200
GeForce GTX 470,3/26/10,17,34,1088.64,215
GeForce GTX 480,3/26/10,21,42,1344.96,250
GeForce 510,9/29/11,2.1,4.5,100.4,25
GeForce GT 520,4/12/11,3.25,6.5,155.5,29
GeForce GT 530,5/14/11,2.8,11.2,268.8,50
GeForce GT 545,5/14/11,11.52,17.28,415.07,70
GeForce GT 545,5/14/11,13.92,20.88,501.12,105
GeForce GTX 550 Ti,3/15/11,21.6,28.8,691.2,116
GeForce GTX 555,5/14/11,17.6,35.3,847.9,150
GeForce GTX 560 SE,2/20/12,17.6,35.3,847.9,150
GeForce GTX 560,5/17/11,25.92,45.36,1088.6,150
GeForce GTX 560 Ti,1/25/11,26.3,52.61,1263.4,170
GeForce GTX 560 Ti,5/30/11,29.28,32.21,1030.7,210
GeForce GTX 560 Ti 448 Cores,11/29/11,29.28,40.99,1311.7,210
GeForce GTX 570,12/7/10,29.28,43.92,1405.4,219
GeForce GTX 580,11/9/10,37.05,49.41,1581.1,244
GeForce GTX 590,3/24/11,58.28,77.7,2488.3,365
GeForce 605,4/3/12,2.09,4.2,100.4,25
GeForce GT 610,5/15/12,3.24,6.5,155.5,29
GeForce GT 620,4/3/12,3.24,6.5,155.5,30
GeForce GT 620,5/15/12,2.8,11.2,268.8,49
GeForce GT 625,2/19/13,3.24,6.5,155.5,30
GeForce GT 630,4/24/12,14,14,336,50
GeForce GT 630,5/15/12,2.8,11.2,311,49
GeForce GT 630,5/15/12,3.2,13,311,65
GeForce GT 630,5/29/13,7.22,14.44,692.7,25
GeForce GT 635,2/19/13,7.74,15.5,742.7,35
GeForce GT 640,4/24/12,17.3,17.3,414.7,75
GeForce GT 640,4/24/12,12.8,25.5,612.1,50
GeForce GT 640,6/5/12,14.4,28.8,691.2,65
